[ INFO | db_manager.py:50 ] 2017-01-24 11:58:42,554 > query : INSERT INTO user (`mail`, `access_token`)VALUES(%s, %s)
[ INFO | db_manager.py:59 ] 2017-01-24 11:58:42,554 > params : ['ya29.GlvdA1Y2MlENKyMmYl6mrz6jde8BNnmc4I7cU06nL-AZnBGfzI36ZJFDd2TrFZ-bjBfKli9jB5upZBy-hYIhX_pNzTt-lUOpSrwsl9ZOf5Z7E78Ld30HDi0DMSKQ', 'cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 11:59:34,235 > query : INSERT INTO user (`mail`, `access_token`)VALUES(%s, %s)
[ INFO | db_manager.py:59 ] 2017-01-24 11:59:34,236 > params : ['ya29.GlvdA69y8_CddwgxE5HODYBKGbvIDkXsmuwe10P6Cb2znZxTbg_5ao01-fTGl86hZx3Qa_iI7Ue7Yp8HjB42eJ7LOu_RuPIxlaqh5xr6QLHUEFFQTOIm_Zc2ZEu9', 'cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 11:59:52,657 > query : INSERT INTO user (`mail`, `access_token`)VALUES(%s, %s)
[ INFO | db_manager.py:59 ] 2017-01-24 11:59:52,657 > params : ['ya29.GlvdAw7GY2yDxc4uPGTQeVKsWvkhT2srMMH_eLCxsPFhyiqTJ8cH7yWhWuW6IPjJTvEeF-l9W6dejf9IRJmpFsikiO9v1CyvnwyI1J-5GvJyjT7csnk9qfMvut_Z', 'cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:00:48,236 > query : INSERT INTO user (`mail`, `access_token`)VALUES(%s, %s)
[ INFO | db_manager.py:59 ] 2017-01-24 12:00:48,236 > params : ['cpg0504@gmail.com', 'ya29.GlvdAzWpp-cNE9-SHr4kxf7Wt7iRNSLgnDVbdhPylH9YYWs0NjkwzkVl-IQXPwe-zjLAl1h8FILf3_G-CSc1VwD2ltOlkfjwXuQ2Z46eAfsR_mV3U94TKjbUw-81']
[ INFO | db_manager.py:50 ] 2017-01-24 12:09:04,382 > query : SELECT * FROM USER WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:09:04,383 > params : ['c', 'p', 'g', '0', '5', '0', '4', '@', 'g', 'm', 'a', 'i', 'l', '.', 'c', 'o', 'm']
[ INFO | db_manager.py:50 ] 2017-01-24 12:09:29,260 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:09:29,260 > params : ['c', 'p', 'g', '0', '5', '0', '4', '@', 'g', 'm', 'a', 'i', 'l', '.', 'c', 'o', 'm']
[ INFO | db_manager.py:50 ] 2017-01-24 12:09:53,046 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:09:53,046 > params : ['c', 'p', 'g', '0', '5', '0', '4', '@', 'g', 'm', 'a', 'i', 'l', '.', 'c', 'o', 'm']
[ INFO | db_manager.py:50 ] 2017-01-24 12:11:52,968 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:11:52,969 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:12:39,644 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:12:39,644 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:30:02,420 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:30:02,420 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:42:19,164 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:42:19,164 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:42:38,300 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:42:38,300 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:52:41,263 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:52:41,263 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:53:11,681 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:53:11,682 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:54:03,894 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:54:03,894 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:54:48,153 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:54:48,154 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:55:14,255 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:55:14,256 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:55:38,435 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:55:38,435 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:56:14,013 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:56:14,014 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:56:32,618 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:56:32,618 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:56:54,329 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:56:54,330 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:58:00,119 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:58:00,119 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:58:19,712 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:58:19,712 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 12:59:06,011 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 12:59:06,012 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 15:50:29,028 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 15:50:29,028 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 15:51:34,187 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 15:51:34,188 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 15:52:53,441 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 15:52:53,442 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 15:53:55,695 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 15:53:55,695 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 16:34:52,122 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 16:34:52,122 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 16:35:32,240 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 16:35:32,240 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 16:35:33,050 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 16:35:33,051 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 16:35:34,365 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 16:35:34,366 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 16:36:38,649 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 16:36:38,650 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 16:46:01,264 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 16:46:01,264 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 16:47:36,569 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 16:47:36,570 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 16:48:27,495 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 16:48:27,495 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 16:50:17,783 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 16:50:17,783 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 16:52:29,022 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 16:52:29,022 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 17:01:17,719 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 17:01:17,719 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 17:01:39,906 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 17:01:39,906 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 17:02:05,942 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 17:02:05,942 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 17:18:34,710 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 17:18:34,711 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 17:19:22,236 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 17:19:22,236 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 17:19:46,057 > query : SELECT * FROM user WHERE mail = %s
[ INFO | db_manager.py:59 ] 2017-01-24 17:19:46,057 > params : ['cpg0504@gmail.com']
[ INFO | db_manager.py:50 ] 2017-01-24 17:20:16,200 > query : SELECT * FROM user WHERE mail = %s
